Semana,CVS Covid Vaccine: (Alabama)
2022-01-02,100
2022-01-09,34
2022-01-16,63
2022-01-23,13
2022-01-30,39
2022-02-06,43
2022-02-13,20
2022-02-20,10
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,20
2022-04-03,0
2022-04-10,16
2022-04-17,33
2022-04-24,17
2022-05-01,10
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,26
2022-06-12,19
2022-06-19,16
2022-06-26,0
2022-07-03,0
2022-07-10,18
2022-07-17,27
2022-07-24,0
2022-07-31,21
2022-08-07,45
2022-08-14,0
2022-08-21,0
2022-08-28,29
2022-09-04,0
2022-09-11,10
2022-09-18,11
2022-09-25,21
2022-10-02,14
2022-10-09,0
2022-10-16,0
2022-10-23,31
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,26
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,23
