Semana,CVS Covid Vaccine: (California)
2022-01-02,100
2022-01-09,67
2022-01-16,49
2022-01-23,32
2022-01-30,20
2022-02-06,17
2022-02-13,14
2022-02-20,11
2022-02-27,12
2022-03-06,9
2022-03-13,11
2022-03-20,10
2022-03-27,19
2022-04-03,18
2022-04-10,16
2022-04-17,14
2022-04-24,13
2022-05-01,16
2022-05-08,14
2022-05-15,17
2022-05-22,16
2022-05-29,14
2022-06-05,12
2022-06-12,16
2022-06-19,23
2022-06-26,13
2022-07-03,16
2022-07-10,18
2022-07-17,20
2022-07-24,14
2022-07-31,12
2022-08-07,9
2022-08-14,7
2022-08-21,7
2022-08-28,15
2022-09-04,33
2022-09-11,27
2022-09-18,27
2022-09-25,24
2022-10-02,22
2022-10-09,21
2022-10-16,18
2022-10-23,19
2022-10-30,17
2022-11-06,15
2022-11-13,11
2022-11-20,15
2022-11-27,13
2022-12-04,14
2022-12-11,15
2022-12-18,12
2022-12-25,12
2023-01-01,8
