Semana,CVS Covid Vaccine: (Colorado)
2022-01-02,100
2022-01-09,0
2022-01-16,33
2022-01-23,41
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,15
2022-03-06,0
2022-03-13,0
2022-03-20,15
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,25
2022-05-01,0
2022-05-08,0
2022-05-15,11
2022-05-22,17
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,9
2022-06-26,19
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,22
2022-08-07,15
2022-08-14,10
2022-08-21,0
2022-08-28,20
2022-09-04,40
2022-09-11,16
2022-09-18,27
2022-09-25,10
2022-10-02,0
2022-10-09,19
2022-10-16,13
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,11
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
