Semana,CVS Covid Vaccine: (Connecticut)
2022-01-02,0
2022-01-09,0
2022-01-16,100
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,26
2022-02-27,40
2022-03-06,0
2022-03-13,18
2022-03-20,0
2022-03-27,67
2022-04-03,0
2022-04-10,0
2022-04-17,15
2022-04-24,0
2022-05-01,27
2022-05-08,54
2022-05-15,0
2022-05-22,34
2022-05-29,35
2022-06-05,23
2022-06-12,0
2022-06-19,81
2022-06-26,23
2022-07-03,38
2022-07-10,35
2022-07-17,0
2022-07-24,0
2022-07-31,33
2022-08-07,0
2022-08-14,23
2022-08-21,0
2022-08-28,38
2022-09-04,80
2022-09-11,55
2022-09-18,74
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,25
2022-11-13,0
2022-11-20,30
2022-11-27,21
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,14
2023-01-01,0
