Semana,CVS Covid Vaccine: (Florida)
2022-01-02,100
2022-01-09,58
2022-01-16,38
2022-01-23,24
2022-01-30,19
2022-02-06,10
2022-02-13,14
2022-02-20,10
2022-02-27,14
2022-03-06,9
2022-03-13,11
2022-03-20,12
2022-03-27,24
2022-04-03,20
2022-04-10,22
2022-04-17,18
2022-04-24,13
2022-05-01,17
2022-05-08,18
2022-05-15,21
2022-05-22,14
2022-05-29,15
2022-06-05,13
2022-06-12,16
2022-06-19,25
2022-06-26,14
2022-07-03,11
2022-07-10,14
2022-07-17,10
2022-07-24,12
2022-07-31,12
2022-08-07,9
2022-08-14,7
2022-08-21,6
2022-08-28,11
2022-09-04,24
2022-09-11,16
2022-09-18,16
2022-09-25,8
2022-10-02,9
2022-10-09,14
2022-10-16,13
2022-10-23,11
2022-10-30,10
2022-11-06,10
2022-11-13,11
2022-11-20,3
2022-11-27,8
2022-12-04,6
2022-12-11,8
2022-12-18,4
2022-12-25,6
2023-01-01,7
