Semana,CVS Covid Vaccine: (Georgia)
2022-01-02,100
2022-01-09,45
2022-01-16,47
2022-01-23,26
2022-01-30,21
2022-02-06,12
2022-02-13,11
2022-02-20,11
2022-02-27,9
2022-03-06,18
2022-03-13,12
2022-03-20,11
2022-03-27,12
2022-04-03,19
2022-04-10,12
2022-04-17,8
2022-04-24,10
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,14
2022-07-03,0
2022-07-10,11
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,5
2022-08-14,0
2022-08-21,0
2022-08-28,14
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,13
2022-10-16,0
2022-10-23,10
2022-10-30,0
2022-11-06,0
2022-11-13,11
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,6
2022-12-18,0
2022-12-25,0
2023-01-01,0
