Semana,CVS Covid Vaccine: (Hawái)
2022-01-02,100
2022-01-09,91
2022-01-16,18
2022-01-23,18
2022-01-30,34
2022-02-06,18
2022-02-13,14
2022-02-20,0
2022-02-27,10
2022-03-06,12
2022-03-13,14
2022-03-20,10
2022-03-27,26
2022-04-03,33
2022-04-10,13
2022-04-17,18
2022-04-24,20
2022-05-01,19
2022-05-08,11
2022-05-15,17
2022-05-22,12
2022-05-29,13
2022-06-05,15
2022-06-12,0
2022-06-19,17
2022-06-26,28
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,15
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,36
2022-09-11,36
2022-09-18,43
2022-09-25,44
2022-10-02,39
2022-10-09,23
2022-10-16,21
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,11
2022-12-11,0
2022-12-18,33
2022-12-25,0
2023-01-01,0
