Semana,CVS Covid Vaccine: (Illinois)
2022-01-02,0
2022-01-09,0
2022-01-16,100
2022-01-23,76
2022-01-30,33
2022-02-06,27
2022-02-13,19
2022-02-20,12
2022-02-27,28
2022-03-06,10
2022-03-13,5
2022-03-20,0
2022-03-27,25
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,14
2022-05-01,18
2022-05-08,15
2022-05-15,23
2022-05-22,9
2022-05-29,12
2022-06-05,16
2022-06-12,18
2022-06-19,41
2022-06-26,18
2022-07-03,13
2022-07-10,9
2022-07-17,18
2022-07-24,18
2022-07-31,15
2022-08-07,12
2022-08-14,10
2022-08-21,7
2022-08-28,16
2022-09-04,40
2022-09-11,33
2022-09-18,33
2022-09-25,18
2022-10-02,30
2022-10-09,31
2022-10-16,31
2022-10-23,16
2022-10-30,12
2022-11-06,19
2022-11-13,14
2022-11-20,20
2022-11-27,10
2022-12-04,18
2022-12-11,14
2022-12-18,12
2022-12-25,12
2023-01-01,6
