Semana,CVS Covid Vaccine: (Indiana)
2022-01-02,100
2022-01-09,63
2022-01-16,33
2022-01-23,25
2022-01-30,15
2022-02-06,24
2022-02-13,12
2022-02-20,15
2022-02-27,4
2022-03-06,12
2022-03-13,6
2022-03-20,19
2022-03-27,18
2022-04-03,17
2022-04-10,16
2022-04-17,19
2022-04-24,11
2022-05-01,8
2022-05-08,15
2022-05-15,10
2022-05-22,9
2022-05-29,8
2022-06-05,6
2022-06-12,20
2022-06-19,30
2022-06-26,0
2022-07-03,14
2022-07-10,21
2022-07-17,12
2022-07-24,11
2022-07-31,17
2022-08-07,6
2022-08-14,0
2022-08-21,8
2022-08-28,13
2022-09-04,18
2022-09-11,10
2022-09-18,24
2022-09-25,12
2022-10-02,7
2022-10-09,17
2022-10-16,20
2022-10-23,21
2022-10-30,10
2022-11-06,9
2022-11-13,7
2022-11-20,18
2022-11-27,9
2022-12-04,6
2022-12-11,4
2022-12-18,13
2022-12-25,0
2023-01-01,6
