Semana,CVS Covid Vaccine: (Kentucky)
2022-01-02,100
2022-01-09,43
2022-01-16,39
2022-01-23,43
2022-01-30,0
2022-02-06,78
2022-02-13,17
2022-02-20,36
2022-02-27,14
2022-03-06,0
2022-03-13,0
2022-03-20,14
2022-03-27,0
2022-04-03,22
2022-04-10,0
2022-04-17,0
2022-04-24,22
2022-05-01,0
2022-05-08,0
2022-05-15,32
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,30
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,20
2022-07-24,0
2022-07-31,22
2022-08-07,17
2022-08-14,0
2022-08-21,0
2022-08-28,19
2022-09-04,22
2022-09-11,41
2022-09-18,43
2022-09-25,34
2022-10-02,30
2022-10-09,31
2022-10-16,17
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
