Semana,CVS Covid Vaccine: (Massachusetts)
2022-01-02,100
2022-01-09,46
2022-01-16,42
2022-01-23,22
2022-01-30,17
2022-02-06,13
2022-02-13,18
2022-02-20,11
2022-02-27,9
2022-03-06,11
2022-03-13,11
2022-03-20,7
2022-03-27,22
2022-04-03,20
2022-04-10,16
2022-04-17,18
2022-04-24,17
2022-05-01,13
2022-05-08,20
2022-05-15,25
2022-05-22,18
2022-05-29,13
2022-06-05,7
2022-06-12,12
2022-06-19,30
2022-06-26,15
2022-07-03,10
2022-07-10,13
2022-07-17,14
2022-07-24,12
2022-07-31,9
2022-08-07,11
2022-08-14,10
2022-08-21,7
2022-08-28,25
2022-09-04,37
2022-09-11,45
2022-09-18,39
2022-09-25,28
2022-10-02,25
2022-10-09,30
2022-10-16,29
2022-10-23,26
2022-10-30,23
2022-11-06,15
2022-11-13,13
2022-11-20,11
2022-11-27,11
2022-12-04,10
2022-12-11,9
2022-12-18,8
2022-12-25,8
2023-01-01,12
