Semana,CVS Covid Vaccine: (Maryland)
2022-01-02,100
2022-01-09,65
2022-01-16,47
2022-01-23,19
2022-01-30,14
2022-02-06,14
2022-02-13,16
2022-02-20,8
2022-02-27,9
2022-03-06,10
2022-03-13,8
2022-03-20,5
2022-03-27,17
2022-04-03,21
2022-04-10,17
2022-04-17,15
2022-04-24,8
2022-05-01,12
2022-05-08,13
2022-05-15,17
2022-05-22,11
2022-05-29,16
2022-06-05,7
2022-06-12,10
2022-06-19,37
2022-06-26,15
2022-07-03,13
2022-07-10,20
2022-07-17,13
2022-07-24,13
2022-07-31,9
2022-08-07,12
2022-08-14,6
2022-08-21,11
2022-08-28,19
2022-09-04,46
2022-09-11,27
2022-09-18,19
2022-09-25,24
2022-10-02,22
2022-10-09,17
2022-10-16,18
2022-10-23,20
2022-10-30,17
2022-11-06,10
2022-11-13,9
2022-11-20,8
2022-11-27,9
2022-12-04,12
2022-12-11,11
2022-12-18,11
2022-12-25,5
2023-01-01,7
