Semana,CVS Covid Vaccine: (Maine)
2022-01-02,94
2022-01-09,0
2022-01-16,55
2022-01-23,0
2022-01-30,0
2022-02-06,31
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,52
2022-03-27,26
2022-04-03,40
2022-04-10,35
2022-04-17,64
2022-04-24,21
2022-05-01,0
2022-05-08,47
2022-05-15,46
2022-05-22,0
2022-05-29,0
2022-06-05,36
2022-06-12,60
2022-06-19,53
2022-06-26,26
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,99
2022-07-31,88
2022-08-07,52
2022-08-14,0
2022-08-21,0
2022-08-28,28
2022-09-04,67
2022-09-11,31
2022-09-18,60
2022-09-25,47
2022-10-02,0
2022-10-09,72
2022-10-16,64
2022-10-23,95
2022-10-30,42
2022-11-06,39
2022-11-13,0
2022-11-20,32
2022-11-27,0
2022-12-04,100
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
