Semana,CVS Covid Vaccine: (Minnesota)
2022-01-02,0
2022-01-09,100
2022-01-16,0
2022-01-23,40
2022-01-30,41
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,8
2022-03-27,0
2022-04-03,27
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,15
2022-06-05,0
2022-06-12,17
2022-06-19,62
2022-06-26,0
2022-07-03,14
2022-07-10,0
2022-07-17,13
2022-07-24,17
2022-07-31,0
2022-08-07,0
2022-08-14,10
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,39
2022-09-18,0
2022-09-25,35
2022-10-02,0
2022-10-09,44
2022-10-16,0
2022-10-23,22
2022-10-30,0
2022-11-06,0
2022-11-13,7
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,13
2022-12-18,0
2022-12-25,0
2023-01-01,0
