Semana,CVS Covid Vaccine: (Misuri)
2022-01-02,100
2022-01-09,68
2022-01-16,40
2022-01-23,26
2022-01-30,31
2022-02-06,21
2022-02-13,9
2022-02-20,12
2022-02-27,10
2022-03-06,6
2022-03-13,6
2022-03-20,0
2022-03-27,14
2022-04-03,0
2022-04-10,9
2022-04-17,20
2022-04-24,8
2022-05-01,12
2022-05-08,30
2022-05-15,17
2022-05-22,10
2022-05-29,9
2022-06-05,26
2022-06-12,0
2022-06-19,30
2022-06-26,10
2022-07-03,24
2022-07-10,20
2022-07-17,18
2022-07-24,9
2022-07-31,5
2022-08-07,8
2022-08-14,7
2022-08-21,8
2022-08-28,12
2022-09-04,37
2022-09-11,22
2022-09-18,15
2022-09-25,19
2022-10-02,16
2022-10-09,14
2022-10-16,0
2022-10-23,14
2022-10-30,11
2022-11-06,13
2022-11-13,7
2022-11-20,0
2022-11-27,7
2022-12-04,11
2022-12-11,12
2022-12-18,7
2022-12-25,6
2023-01-01,0
