Semana,CVS Covid Vaccine: (Carolina del Norte)
2022-01-02,100
2022-01-09,38
2022-01-16,38
2022-01-23,16
2022-01-30,24
2022-02-06,13
2022-02-13,8
2022-02-20,3
2022-02-27,8
2022-03-06,11
2022-03-13,7
2022-03-20,10
2022-03-27,20
2022-04-03,16
2022-04-10,19
2022-04-17,9
2022-04-24,17
2022-05-01,13
2022-05-08,12
2022-05-15,17
2022-05-22,9
2022-05-29,11
2022-06-05,3
2022-06-12,10
2022-06-19,24
2022-06-26,12
2022-07-03,8
2022-07-10,12
2022-07-17,10
2022-07-24,15
2022-07-31,17
2022-08-07,10
2022-08-14,4
2022-08-21,11
2022-08-28,14
2022-09-04,32
2022-09-11,19
2022-09-18,17
2022-09-25,14
2022-10-02,12
2022-10-09,15
2022-10-16,17
2022-10-23,10
2022-10-30,10
2022-11-06,9
2022-11-13,4
2022-11-20,5
2022-11-27,7
2022-12-04,10
2022-12-11,6
2022-12-18,9
2022-12-25,3
2023-01-01,9
