Semana,CVS Covid Vaccine: (Nueva Jersey)
2022-01-02,100
2022-01-09,47
2022-01-16,50
2022-01-23,25
2022-01-30,21
2022-02-06,21
2022-02-13,12
2022-02-20,14
2022-02-27,10
2022-03-06,9
2022-03-13,8
2022-03-20,1
2022-03-27,18
2022-04-03,17
2022-04-10,14
2022-04-17,10
2022-04-24,14
2022-05-01,13
2022-05-08,12
2022-05-15,13
2022-05-22,6
2022-05-29,9
2022-06-05,12
2022-06-12,9
2022-06-19,26
2022-06-26,11
2022-07-03,8
2022-07-10,13
2022-07-17,15
2022-07-24,9
2022-07-31,6
2022-08-07,9
2022-08-14,10
2022-08-21,7
2022-08-28,17
2022-09-04,37
2022-09-11,24
2022-09-18,30
2022-09-25,22
2022-10-02,21
2022-10-09,19
2022-10-16,19
2022-10-23,15
2022-10-30,14
2022-11-06,10
2022-11-13,9
2022-11-20,11
2022-11-27,12
2022-12-04,12
2022-12-11,11
2022-12-18,7
2022-12-25,10
2023-01-01,9
