Semana,CVS Covid Vaccine: (Nueva York)
2022-01-02,100
2022-01-09,59
2022-01-16,41
2022-01-23,29
2022-01-30,19
2022-02-06,19
2022-02-13,9
2022-02-20,13
2022-02-27,12
2022-03-06,6
2022-03-13,10
2022-03-20,8
2022-03-27,19
2022-04-03,19
2022-04-10,14
2022-04-17,12
2022-04-24,13
2022-05-01,10
2022-05-08,9
2022-05-15,18
2022-05-22,16
2022-05-29,11
2022-06-05,9
2022-06-12,12
2022-06-19,19
2022-06-26,12
2022-07-03,16
2022-07-10,12
2022-07-17,10
2022-07-24,10
2022-07-31,7
2022-08-07,6
2022-08-14,7
2022-08-21,5
2022-08-28,16
2022-09-04,33
2022-09-11,28
2022-09-18,27
2022-09-25,22
2022-10-02,22
2022-10-09,28
2022-10-16,23
2022-10-23,17
2022-10-30,14
2022-11-06,13
2022-11-13,17
2022-11-20,11
2022-11-27,12
2022-12-04,9
2022-12-11,12
2022-12-18,7
2022-12-25,8
2023-01-01,8
