Semana,CVS Covid Vaccine: (Ohio)
2022-01-02,100
2022-01-09,42
2022-01-16,32
2022-01-23,22
2022-01-30,10
2022-02-06,10
2022-02-13,10
2022-02-20,10
2022-02-27,9
2022-03-06,7
2022-03-13,8
2022-03-20,8
2022-03-27,15
2022-04-03,16
2022-04-10,13
2022-04-17,12
2022-04-24,8
2022-05-01,7
2022-05-08,10
2022-05-15,14
2022-05-22,12
2022-05-29,8
2022-06-05,7
2022-06-12,4
2022-06-19,5
2022-06-26,7
2022-07-03,10
2022-07-10,3
2022-07-17,16
2022-07-24,13
2022-07-31,12
2022-08-07,6
2022-08-14,6
2022-08-21,8
2022-08-28,7
2022-09-04,21
2022-09-11,20
2022-09-18,18
2022-09-25,20
2022-10-02,17
2022-10-09,15
2022-10-16,14
2022-10-23,13
2022-10-30,11
2022-11-06,10
2022-11-13,8
2022-11-20,6
2022-11-27,11
2022-12-04,9
2022-12-11,10
2022-12-18,0
2022-12-25,8
2023-01-01,6
