Semana,CVS Covid Vaccine: (Oklahoma)
2022-01-02,100
2022-01-09,35
2022-01-16,67
2022-01-23,0
2022-01-30,50
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,24
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,61
2022-04-10,26
2022-04-17,0
2022-04-24,0
2022-05-01,28
2022-05-08,65
2022-05-15,34
2022-05-22,0
2022-05-29,0
2022-06-05,15
2022-06-12,0
2022-06-19,36
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,35
2022-07-31,0
2022-08-07,31
2022-08-14,0
2022-08-21,26
2022-08-28,0
2022-09-04,50
2022-09-11,38
2022-09-18,0
2022-09-25,19
2022-10-02,24
2022-10-09,0
2022-10-16,27
2022-10-23,0
2022-10-30,28
2022-11-06,0
2022-11-13,15
2022-11-20,0
2022-11-27,0
2022-12-04,28
2022-12-11,25
2022-12-18,0
2022-12-25,28
2023-01-01,19
