Semana,CVS Covid Vaccine: (Pensilvania)
2022-01-02,100
2022-01-09,61
2022-01-16,43
2022-01-23,22
2022-01-30,23
2022-02-06,16
2022-02-13,16
2022-02-20,10
2022-02-27,8
2022-03-06,5
2022-03-13,6
2022-03-20,5
2022-03-27,12
2022-04-03,13
2022-04-10,14
2022-04-17,8
2022-04-24,9
2022-05-01,9
2022-05-08,9
2022-05-15,20
2022-05-22,13
2022-05-29,11
2022-06-05,11
2022-06-12,12
2022-06-19,25
2022-06-26,6
2022-07-03,8
2022-07-10,10
2022-07-17,12
2022-07-24,5
2022-07-31,18
2022-08-07,10
2022-08-14,6
2022-08-21,7
2022-08-28,15
2022-09-04,32
2022-09-11,27
2022-09-18,26
2022-09-25,18
2022-10-02,16
2022-10-09,13
2022-10-16,20
2022-10-23,18
2022-10-30,17
2022-11-06,12
2022-11-13,9
2022-11-20,9
2022-11-27,13
2022-12-04,8
2022-12-11,7
2022-12-18,0
2022-12-25,3
2023-01-01,6
