Semana,CVS Covid Vaccine: (Carolina del Sur)
2022-01-02,100
2022-01-09,60
2022-01-16,31
2022-01-23,29
2022-01-30,9
2022-02-06,0
2022-02-13,12
2022-02-20,5
2022-02-27,0
2022-03-06,13
2022-03-13,0
2022-03-20,9
2022-03-27,20
2022-04-03,8
2022-04-10,8
2022-04-17,15
2022-04-24,19
2022-05-01,11
2022-05-08,16
2022-05-15,18
2022-05-22,15
2022-05-29,12
2022-06-05,16
2022-06-12,0
2022-06-19,14
2022-06-26,12
2022-07-03,0
2022-07-10,17
2022-07-17,15
2022-07-24,14
2022-07-31,9
2022-08-07,0
2022-08-14,9
2022-08-21,0
2022-08-28,10
2022-09-04,7
2022-09-11,16
2022-09-18,15
2022-09-25,0
2022-10-02,20
2022-10-09,6
2022-10-16,12
2022-10-23,24
2022-10-30,5
2022-11-06,0
2022-11-13,11
2022-11-20,0
2022-11-27,0
2022-12-04,13
2022-12-11,5
2022-12-18,0
2022-12-25,10
2023-01-01,7
