Semana,CVS Covid Vaccine: (Tennessee)
2022-01-02,58
2022-01-09,16
2022-01-16,100
2022-01-23,63
2022-01-30,41
2022-02-06,11
2022-02-13,0
2022-02-20,10
2022-02-27,13
2022-03-06,0
2022-03-13,34
2022-03-20,7
2022-03-27,23
2022-04-03,26
2022-04-10,14
2022-04-17,13
2022-04-24,23
2022-05-01,11
2022-05-08,0
2022-05-15,6
2022-05-22,14
2022-05-29,8
2022-06-05,0
2022-06-12,33
2022-06-19,24
2022-06-26,0
2022-07-03,15
2022-07-10,33
2022-07-17,13
2022-07-24,16
2022-07-31,12
2022-08-07,35
2022-08-14,0
2022-08-21,11
2022-08-28,29
2022-09-04,11
2022-09-11,0
2022-09-18,0
2022-09-25,14
2022-10-02,8
2022-10-09,8
2022-10-16,18
2022-10-23,16
2022-10-30,14
2022-11-06,11
2022-11-13,6
2022-11-20,10
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
