Semana,CVS Covid Vaccine: (Texas)
2022-01-02,100
2022-01-09,56
2022-01-16,38
2022-01-23,22
2022-01-30,16
2022-02-06,15
2022-02-13,13
2022-02-20,8
2022-02-27,9
2022-03-06,7
2022-03-13,10
2022-03-20,8
2022-03-27,12
2022-04-03,13
2022-04-10,9
2022-04-17,10
2022-04-24,9
2022-05-01,8
2022-05-08,12
2022-05-15,11
2022-05-22,10
2022-05-29,12
2022-06-05,6
2022-06-12,8
2022-06-19,13
2022-06-26,10
2022-07-03,9
2022-07-10,16
2022-07-17,14
2022-07-24,10
2022-07-31,12
2022-08-07,6
2022-08-14,5
2022-08-21,4
2022-08-28,9
2022-09-04,14
2022-09-11,11
2022-09-18,11
2022-09-25,6
2022-10-02,7
2022-10-09,9
2022-10-16,8
2022-10-23,6
2022-10-30,7
2022-11-06,6
2022-11-13,5
2022-11-20,4
2022-11-27,5
2022-12-04,4
2022-12-11,6
2022-12-18,7
2022-12-25,6
2023-01-01,8
