Semana,CVS Covid Vaccine: (Utah)
2022-01-02,100
2022-01-09,19
2022-01-16,48
2022-01-23,17
2022-01-30,0
2022-02-06,63
2022-02-13,23
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,20
2022-03-20,28
2022-03-27,14
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,52
2022-05-08,14
2022-05-15,0
2022-05-22,38
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,17
2022-06-26,22
2022-07-03,16
2022-07-10,15
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,12
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,16
2022-09-11,26
2022-09-18,0
2022-09-25,0
2022-10-02,28
2022-10-09,0
2022-10-16,0
2022-10-23,13
2022-10-30,35
2022-11-06,21
2022-11-13,11
2022-11-20,12
2022-11-27,0
2022-12-04,0
2022-12-11,40
2022-12-18,0
2022-12-25,17
2023-01-01,0
