Semana,CVS Covid Vaccine: (Virginia)
2022-01-02,100
2022-01-09,65
2022-01-16,34
2022-01-23,21
2022-01-30,14
2022-02-06,14
2022-02-13,13
2022-02-20,9
2022-02-27,0
2022-03-06,11
2022-03-13,10
2022-03-20,4
2022-03-27,19
2022-04-03,15
2022-04-10,18
2022-04-17,10
2022-04-24,15
2022-05-01,16
2022-05-08,15
2022-05-15,17
2022-05-22,15
2022-05-29,9
2022-06-05,13
2022-06-12,18
2022-06-19,27
2022-06-26,9
2022-07-03,14
2022-07-10,20
2022-07-17,14
2022-07-24,12
2022-07-31,8
2022-08-07,9
2022-08-14,11
2022-08-21,2
2022-08-28,10
2022-09-04,31
2022-09-11,32
2022-09-18,21
2022-09-25,16
2022-10-02,17
2022-10-09,25
2022-10-16,23
2022-10-23,21
2022-10-30,17
2022-11-06,8
2022-11-13,7
2022-11-20,10
2022-11-27,9
2022-12-04,4
2022-12-11,6
2022-12-18,6
2022-12-25,4
2023-01-01,13
