Semana,CVS Covid Vaccine: (Washington)
2022-01-02,100
2022-01-09,67
2022-01-16,53
2022-01-23,23
2022-01-30,34
2022-02-06,25
2022-02-13,24
2022-02-20,17
2022-02-27,0
2022-03-06,9
2022-03-13,0
2022-03-20,0
2022-03-27,16
2022-04-03,16
2022-04-10,14
2022-04-17,20
2022-04-24,8
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,8
2022-05-29,11
2022-06-05,11
2022-06-12,0
2022-06-19,66
2022-06-26,0
2022-07-03,23
2022-07-10,15
2022-07-17,10
2022-07-24,0
2022-07-31,20
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,53
2022-09-04,74
2022-09-11,63
2022-09-18,38
2022-09-25,34
2022-10-02,62
2022-10-09,46
2022-10-16,50
2022-10-23,0
2022-10-30,29
2022-11-06,16
2022-11-13,22
2022-11-20,10
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,12
2022-12-25,9
2023-01-01,17
